Date,Open,High,Low,Close,Adj Close,Volume
2012-04-07,84.625000,85.025002,82.525002,82.750000,82.750000,21670
2012-04-14,82.750000,89.800003,82.175003,87.500000,87.500000,2731
2012-04-21,87.250000,88.025002,85.275002,85.500000,85.500000,2483
2012-04-28,85.125000,85.125000,78.900002,79.800003,79.800003,3394
2012-05-05,79.949997,80.650002,78.574997,79.525002,79.525002,2086
2012-05-12,79.525002,87.949997,79.224998,87.425003,87.425003,106629
2012-05-19,87.500000,87.525002,83.900002,85.199997,85.199997,78053
2012-05-26,85.500000,90.925003,85.425003,90.724998,90.724998,53439
2012-06-02,90.699997,93.650002,90.375000,93.025002,93.025002,36705
2012-06-09,93.050003,94.750000,92.824997,93.025002,93.025002,47333
2012-06-16,93.724998,95.900002,93.724998,94.925003,94.925003,67429
2012-06-23,95.099998,97.050003,92.500000,96.625000,96.625000,52361
2012-06-30,96.925003,97.724998,95.349998,96.224998,96.224998,28598
2012-07-07,96.525002,97.474998,95.500000,97.224998,97.224998,31806
2012-07-14,97.000000,97.449997,88.650002,93.699997,93.699997,84690
2012-07-21,93.349998,96.599998,92.425003,95.199997,95.199997,42979
2012-07-28,95.199997,95.199997,89.275002,89.550003,89.550003,42063
2012-08-04,89.650002,92.550003,88.599998,91.875000,91.875000,27800
2012-08-11,91.974998,92.125000,75.300003,76.199997,76.199997,57286
2012-08-18,76.449997,76.449997,72.074997,72.375000,72.375000,71017
2012-08-25,72.650002,74.474998,72.525002,74.175003,74.175003,75822
2012-09-01,74.175003,75.224998,70.375000,71.349998,71.349998,98447
2012-09-08,71.300003,74.474998,71.300003,74.025002,74.025002,125856
2012-09-15,74.099998,76.025002,73.025002,75.800003,75.800003,79787
2012-09-22,75.650002,77.449997,75.474998,77.175003,77.175003,55997
2012-09-29,77.000000,82.000000,77.000000,81.324997,81.324997,38995
2012-10-06,81.474998,82.800003,81.324997,82.750000,82.750000,31133
2012-10-13,78.050003,79.800003,78.050003,79.625000,79.625000,83728
2012-10-20,79.625000,79.699997,77.625000,78.900002,78.900002,90288
2012-10-27,78.599998,79.449997,76.824997,77.750000,77.750000,105814
2012-11-03,77.875000,80.949997,76.675003,80.750000,80.750000,138709
2012-11-10,80.800003,81.349998,79.675003,80.324997,80.324997,97306
2012-11-17,80.800003,82.625000,80.775002,82.474998,82.474998,51043
2012-11-24,82.300003,84.650002,81.800003,84.074997,84.074997,60077
2012-12-01,84.150002,85.150002,82.000000,82.300003,82.300003,54123
2012-12-08,82.525002,82.650002,81.550003,82.000000,82.000000,31197
2012-12-15,85.349998,86.974998,84.500000,86.900002,86.900002,65276
2012-12-22,86.900002,87.800003,86.349998,86.375000,86.375000,43406
2012-12-29,85.525002,87.425003,84.849998,86.224998,86.224998,81082
2013-01-05,86.150002,87.000000,84.125000,84.199997,84.199997,129084
2013-01-12,84.449997,86.275002,84.275002,85.349998,85.349998,88866
2013-01-19,85.550003,87.400002,85.099998,86.824997,86.824997,46809
2013-01-26,87.099998,88.125000,86.550003,87.650002,87.650002,39944
2013-02-02,87.849998,88.699997,86.375000,86.449997,86.449997,37006
2013-02-09,86.800003,87.750000,83.574997,84.250000,84.250000,48213
2013-02-16,84.099998,84.250000,81.625000,81.650002,81.650002,83598
2013-02-23,81.500000,82.275002,80.625000,81.125000,81.125000,97897
2013-03-02,81.175003,82.349998,78.275002,82.025002,82.025002,135965
2013-03-09,81.800003,81.974998,79.500000,79.675003,79.675003,115576
2013-03-16,79.625000,79.750000,76.800003,78.050003,78.050003,76077
2013-03-23,77.849998,80.949997,77.525002,80.599998,80.599998,44305
2013-03-30,80.449997,82.525002,79.800003,80.025002,80.025002,46023
2013-04-06,80.224998,82.224998,80.175003,82.224998,82.224998,15988
2013-04-13,86.974998,88.349998,85.449997,87.849998,87.849998,1082
2013-04-20,87.449997,89.425003,87.125000,89.349998,89.349998,1462
2013-04-27,89.375000,91.550003,88.974998,91.400002,91.400002,2651
2013-05-04,91.425003,92.375000,90.750000,92.000000,92.000000,2651
2013-05-11,91.949997,93.750000,90.750000,91.525002,91.525002,96155
2013-05-18,91.974998,95.000000,91.525002,94.875000,94.875000,63193
2013-05-25,94.724998,95.925003,94.324997,95.625000,95.625000,37123
2013-06-01,95.875000,98.400002,95.349998,98.125000,98.125000,35601
2013-06-08,98.324997,102.449997,98.324997,102.300003,102.300003,37331
2013-06-15,98.025002,101.324997,97.625000,99.750000,99.750000,51918
2013-06-22,99.800003,102.349998,99.650002,101.275002,101.275002,49477
2013-06-29,101.724998,102.400002,100.425003,102.349998,102.349998,22795
2013-07-06,102.349998,102.449997,100.675003,102.099998,102.099998,21763
2013-07-13,102.400002,102.500000,95.300003,96.474998,96.474998,73694
2013-07-20,96.125000,99.625000,96.125000,97.775002,97.775002,70465
2013-07-27,98.074997,99.449997,96.574997,99.250000,99.250000,44067
2013-08-03,99.449997,101.324997,99.324997,100.525002,100.525002,35387
2013-08-10,100.875000,102.474998,86.574997,86.724998,86.724998,63263
2013-08-17,86.724998,87.125000,83.800003,85.099998,85.099998,78168
2013-08-24,85.574997,87.925003,85.550003,87.625000,87.625000,87926
2013-08-31,87.574997,91.025002,87.175003,90.900002,90.900002,118369
2013-09-07,90.900002,91.599998,89.750000,90.699997,90.699997,164242
2013-09-14,91.300003,92.224998,89.400002,90.050003,90.050003,95736
2013-09-21,90.250000,93.750000,89.849998,92.925003,92.925003,72946
2013-09-28,92.000000,92.425003,90.699997,91.849998,91.849998,49494
2013-10-05,92.000000,92.400002,89.175003,90.750000,90.750000,29035
2013-10-12,90.900002,90.900002,86.125000,87.949997,87.949997,92721
2013-10-19,87.949997,90.675003,87.300003,90.425003,90.425003,75598
2013-10-26,90.250000,92.300003,88.324997,88.349998,88.349998,107310
2013-11-02,88.375000,89.099998,87.025002,88.125000,88.125000,119924
2013-11-09,88.150002,88.449997,85.250000,85.900002,85.900002,117273
2013-11-16,85.650002,86.675003,84.925003,85.625000,85.625000,66940
2013-11-23,85.650002,86.400002,85.074997,85.675003,85.675003,35728
2013-11-30,85.675003,86.300003,81.550003,81.675003,81.675003,52196
2013-12-07,81.849998,82.175003,80.224998,81.250000,81.250000,32496
2013-12-14,86.949997,87.000000,85.550003,86.250000,86.250000,63323
2013-12-21,86.250000,86.525002,85.224998,85.650002,85.650002,31164
2013-12-28,86.199997,87.425003,84.650002,86.675003,86.675003,66286
2014-01-04,86.449997,86.724998,84.500000,85.824997,85.824997,113956
2014-01-11,86.074997,87.050003,85.074997,86.175003,86.175003,84555
2014-01-18,86.250000,86.650002,85.050003,86.375000,86.375000,43296
2014-01-25,85.900002,86.775002,84.949997,86.224998,86.224998,40583
2014-02-01,86.224998,86.824997,84.750000,86.574997,86.574997,28258
2014-02-08,86.425003,86.775002,86.050003,86.525002,86.525002,31156
2014-02-15,96.500000,99.474998,96.500000,99.349998,99.349998,68745
2014-02-22,99.500000,106.849998,98.949997,106.849998,106.849998,122225
2014-03-01,106.949997,114.675003,106.500000,113.000000,113.000000,156826
2014-03-08,113.849998,119.900002,113.775002,119.300003,119.300003,157412
2014-03-15,120.550003,126.400002,120.500000,125.675003,125.675003,91299
2014-03-22,125.750000,127.300003,119.599998,125.574997,125.574997,68971
2014-03-29,122.900002,128.774994,122.750000,123.150002,123.150002,63392
2014-04-05,123.474998,125.675003,121.949997,124.925003,124.925003,29569
2014-04-12,124.699997,124.900002,119.724998,123.500000,123.500000,1249
2014-04-19,122.900002,123.974998,119.500000,120.925003,120.925003,2903
2014-04-26,120.000000,121.250000,116.099998,117.224998,117.224998,3284
2014-05-03,116.824997,117.074997,114.150002,114.675003,114.675003,2099
2014-05-10,114.199997,121.000000,112.199997,118.925003,118.925003,58395
2014-05-17,119.150002,120.675003,116.000000,116.849998,116.849998,61632
2014-05-24,117.349998,117.474998,112.775002,113.349998,113.349998,41184
2014-05-31,113.349998,115.050003,111.599998,114.574997,114.574997,41865
2014-06-07,115.000000,116.375000,114.000000,115.900002,115.900002,31778
2014-06-14,127.224998,128.850006,123.974998,127.824997,127.824997,63635
2014-06-21,128.000000,131.399994,127.050003,130.899994,130.899994,50217
2014-06-28,133.574997,133.600006,130.100006,131.725006,131.725006,34311
2014-07-05,131.725006,133.800003,131.500000,132.800003,132.800003,28262
2014-07-12,133.100006,133.375000,126.775002,127.074997,127.074997,91491
2014-07-19,126.900002,127.875000,121.650002,123.625000,123.625000,77058
2014-07-26,124.074997,124.224998,117.250000,118.025002,118.025002,55063
2014-08-02,118.175003,118.400002,114.050003,114.224998,114.224998,29529
2014-08-09,114.550003,115.199997,94.300003,94.949997,94.949997,57433
2014-08-16,94.349998,96.525002,90.449997,92.875000,92.875000,102822
2014-08-23,92.800003,98.474998,92.750000,98.125000,98.125000,104644
2014-08-30,98.900002,105.650002,98.750000,105.625000,105.625000,114567
2014-09-06,106.125000,107.550003,102.800003,105.699997,105.699997,141432
2014-09-13,106.000000,107.925003,102.099998,105.974998,105.974998,85377
2014-09-20,106.000000,108.675003,104.625000,106.525002,106.525002,51522
2014-09-27,105.099998,108.750000,105.074997,105.599998,105.599998,49933
