time,open,high,low,close,tick_volume,spread,real_volume
2005-10-07,1.7792,1.7795,1.7576,1.7609,12000,40,0
2005-10-10,1.7601,1.7637,1.7513999999999998,1.7557,9968,40,0
2005-10-11,1.7556,1.7561,1.7441,1.7457,10409,40,0
2005-10-12,1.7457,1.7551999999999999,1.7391999999999999,1.7527,10278,40,0
2005-10-13,1.7526000000000002,1.7578,1.7443,1.7562,10920,40,0
2005-10-14,1.7564,1.7709000000000001,1.7481,1.7684,11077,40,0
2005-10-17,1.7683,1.7732999999999999,1.7528000000000001,1.7536,13663,40,0
2005-10-18,1.7536,1.7538,1.7423,1.7513999999999998,10922,40,0
2005-10-19,1.7513,1.7671999999999999,1.7424,1.7643,11504,40,0
2005-10-20,1.764,1.7752,1.7595,1.7742,11102,40,0
2005-10-21,1.7741,1.78,1.7638,1.7686,10673,40,0
2005-10-24,1.7664,1.7732,1.7646,1.7694,10030,40,0
2005-10-25,1.7692999999999999,1.787,1.7633,1.7838,11206,40,0
2005-10-26,1.7843,1.7869000000000002,1.7715,1.7753,11382,40,0
2005-10-27,1.7753999999999999,1.7904,1.7734999999999999,1.7829000000000002,12664,40,0
2005-10-28,1.7828,1.786,1.7727,1.774,11935,40,0
2005-10-31,1.7738,1.7826,1.7671999999999999,1.768,11292,40,0
2005-11-01,1.768,1.7728000000000002,1.7608000000000001,1.7671999999999999,11986,40,0
2005-11-02,1.767,1.7774,1.7623,1.7769,11343,40,0
2005-11-03,1.7766,1.7795999999999998,1.7692999999999999,1.7701,11437,40,0
2005-11-04,1.7701,1.7715,1.7457,1.7506,12321,40,0
2005-11-07,1.7462,1.752,1.7389999999999999,1.7425000000000002,11862,40,0
2005-11-08,1.7426,1.7461,1.7326000000000001,1.7438,11781,40,0
2005-11-09,1.7442,1.7462,1.7361,1.7436,11499,40,0
2005-11-10,1.7436,1.7519,1.7396,1.7406000000000001,11438,40,0
2005-11-11,1.7408000000000001,1.7438,1.7374,1.7425000000000002,10515,40,0
2005-11-14,1.7423,1.7499,1.7342,1.7376,11457,40,0
2005-11-15,1.7375,1.7399,1.7304,1.7348,11503,40,0
2005-11-16,1.7353,1.7372999999999998,1.7137,1.7178,11545,40,0
2005-11-17,1.7179,1.7227000000000001,1.7147000000000001,1.7185000000000001,12128,40,0
2005-11-18,1.7185000000000001,1.7229,1.7097,1.7167,12278,40,0
2005-11-21,1.7168,1.7247,1.714,1.7155,11882,40,0
2005-11-22,1.7151999999999998,1.724,1.7064,1.7226,10463,40,0
2005-11-23,1.7227000000000001,1.7261,1.7175,1.7233,10458,40,0
2005-11-24,1.7233,1.7288000000000001,1.7199,1.722,9030,40,0
2005-11-25,1.7222,1.7236,1.7123,1.7144,9136,40,0
2005-11-28,1.7126000000000001,1.7345000000000002,1.7046999999999999,1.7288000000000001,10158,40,0
2005-11-29,1.7288999999999999,1.7296,1.7143000000000002,1.7165,10438,40,0
2005-11-30,1.7165,1.7351999999999999,1.7162,1.7292,10244,40,0
